rte_run3	micro_avg: 0.870, macro_avg: 0.870, rte_accuracy: 0.870
commitbank_run3	micro_avg: 0.950, macro_avg: 0.950, commitbank_accuracy: 0.964, commitbank_f1: 0.950, commitbank_precision: 0.933, commitbank_recall: 0.974
copa_run3	micro_avg: 0.880, macro_avg: 0.880, copa_accuracy: 0.880
wic_run3	micro_avg: 0.707, macro_avg: 0.707, wic_accuracy: 0.707, wic_f1: 0.746, wic_precision: 0.658, wic_recall: 0.862
boolq_run3	micro_avg: 0.878, macro_avg: 0.878, boolq_acc_f1: 0.878, boolq_accuracy: 0.864, boolq_f1: 0.892, boolq_precision: 0.884, boolq_recall: 0.900
commonsenseqa_run3	micro_avg: 0.735, macro_avg: 0.735, commonsenseqa_accuracy: 0.735
multirc_run3	micro_avg: 0.499, macro_avg: 0.499, multirc_ans_f1: 0.720, multirc_qst_f1: 0.671, multirc_em: 0.279, multirc_avg: 0.499
winograd-coreference_run3	micro_avg: 0.721, macro_avg: 0.721, winograd-coreference_f1: 0.695, winograd-coreference_acc: 0.721
cosmosqa_run3	micro_avg: 0.816, macro_avg: 0.816, cosmosqa_accuracy: 0.816
record_run3	micro_avg: 0.859, macro_avg: 0.859, record_f1: 0.863, record_em: 0.855, record_avg: 0.859
