edges-dpr_run1	micro_avg: 0.000, macro_avg: 0.894, edges-dpr_mcc: 0.789, edges-dpr_acc: 0.894, edges-dpr_precision: 0.894, edges-dpr_recall: 0.894, edges-dpr_f1: 0.894
edges-ner-ontonotes_run1	micro_avg: 0.000, macro_avg: 0.970, edges-ner-ontonotes_mcc: 0.969, edges-ner-ontonotes_acc: 0.969, edges-ner-ontonotes_precision: 0.971, edges-ner-ontonotes_recall: 0.969, edges-ner-ontonotes_f1: 0.970
edges-srl-ontonotes_run1	micro_avg: 0.000, macro_avg: 0.940, edges-srl-ontonotes_mcc: 0.939, edges-srl-ontonotes_acc: 0.928, edges-srl-ontonotes_precision: 0.948, edges-srl-ontonotes_recall: 0.932, edges-srl-ontonotes_f1: 0.940
edges-spr1_run1	micro_avg: 0.000, macro_avg: 0.871, edges-spr1_mcc: 0.813, edges-spr1_acc: 0.383, edges-spr1_precision: 0.872, edges-spr1_recall: 0.870, edges-spr1_f1: 0.871
edges-spr2_run1	micro_avg: 0.000, macro_avg: 0.837, edges-spr2_mcc: 0.739, edges-spr2_acc: 0.090, edges-spr2_precision: 0.835, edges-spr2_recall: 0.839, edges-spr2_f1: 0.837
edges-dpr_run2	micro_avg: 0.000, macro_avg: 0.667, edges-dpr_mcc: 0.000, edges-dpr_acc: 0.000, edges-dpr_precision: 0.500, edges-dpr_recall: 1.000, edges-dpr_f1: 0.667
winograd-coreference_run1	micro_avg: 0.663, macro_avg: 0.663, winograd-coreference_f1: 0.624, winograd-coreference_acc: 0.663
wic_run1	micro_avg: 0.697, macro_avg: 0.697, wic_accuracy: 0.697, wic_f1: 0.728, wic_precision: 0.662, wic_recall: 0.809
edges-rel-semeval_run1	micro_avg: 0.000, macro_avg: 0.856, edges-rel-semeval_mcc: 0.849, edges-rel-semeval_acc: 0.834, edges-rel-semeval_precision: 0.871, edges-rel-semeval_recall: 0.842, edges-rel-semeval_f1: 0.856
copa_run1	micro_avg: 0.790, macro_avg: 0.790, copa_accuracy: 0.790
edges-ner-ontonotes_run2	micro_avg: 0.000, macro_avg: 0.968, edges-ner-ontonotes_mcc: 0.966, edges-ner-ontonotes_acc: 0.965, edges-ner-ontonotes_precision: 0.969, edges-ner-ontonotes_recall: 0.967, edges-ner-ontonotes_f1: 0.968
edges-srl-ontonotes_run2	micro_avg: 0.000, macro_avg: 0.359, edges-srl-ontonotes_mcc: 0.438, edges-srl-ontonotes_acc: 0.227, edges-srl-ontonotes_precision: 0.858, edges-srl-ontonotes_recall: 0.227, edges-srl-ontonotes_f1: 0.359
edges-spr1_run2	micro_avg: 0.000, macro_avg: 0.873, edges-spr1_mcc: 0.816, edges-spr1_acc: 0.373, edges-spr1_precision: 0.861, edges-spr1_recall: 0.886, edges-spr1_f1: 0.873
