copa_run1       micro_avg: 0.830, macro_avg: 0.830, copa_accuracy: 0.830
commitbank_run1 micro_avg: 0.818, macro_avg: 0.818, commitbank_accuracy: 0.875, commitbank_f1: 0.818, commitbank_precision: 0.840, commitbank_recall: 0.805
wic_run1        micro_avg: 0.669, macro_avg: 0.669, wic_accuracy: 0.669, wic_f1: 0.707, wic_precision: 0.634, wic_recall: 0.799
winograd-coreference_run1       micro_avg: 0.635, macro_avg: 0.635, winograd-coreference_f1: 0.000, winograd-coreference_acc: 0.635
rte-superglue_run1      micro_avg: 0.801, macro_avg: 0.801, rte-superglue_accuracy: 0.801
boolq_run1      micro_avg: 0.844, macro_avg: 0.844, boolq_acc_f1: 0.844, boolq_accuracy: 0.826, boolq_f1: 0.862, boolq_precision: 0.850, boolq_recall: 0.875
commonsenseqa_run1      micro_avg: 0.662, macro_avg: 0.662, commonsenseqa_accuracy: 0.662
multirc_run1    micro_avg: 0.304, macro_avg: 0.304, multirc_ans_f1: 0.599, multirc_qst_f1: 0.590, multirc_em: 0.008, multirc_avg: 0.304
cosmosqa_run1   micro_avg: 0.729, macro_avg: 0.729, cosmosqa_accuracy: 0.729
record_run1     micro_avg: 0.767, macro_avg: 0.767, record_f1: 0.770, record_em: 0.763, record_avg: 0.767
rte-superglue_run2      micro_avg: 0.827, macro_avg: 0.827, rte-superglue_accuracy: 0.827
copa_run2       micro_avg: 0.810, macro_avg: 0.810, copa_accuracy: 0.810
winograd-coreference_run2       micro_avg: 0.615, macro_avg: 0.615, winograd-coreference_f1: 0.167, winograd-coreference_acc: 0.615
commitbank_run2 micro_avg: 0.799, macro_avg: 0.799, commitbank_accuracy: 0.893, commitbank_f1: 0.799, commitbank_precision: 0.925, commitbank_recall: 0.762
wic_run2        micro_avg: 0.710, macro_avg: 0.710, wic_accuracy: 0.710, wic_f1: 0.729, wic_precision: 0.684, wic_recall: 0.781
boolq_run2      micro_avg: 0.833, macro_avg: 0.833, boolq_acc_f1: 0.833, boolq_accuracy: 0.810, boolq_f1: 0.855, boolq_precision: 0.816, boolq_recall: 0.897
commonsenseqa_run2      micro_avg: 0.665, macro_avg: 0.665, commonsenseqa_accuracy: 0.665
multirc_run2    micro_avg: 0.496, macro_avg: 0.496, multirc_ans_f1: 0.710, multirc_qst_f1: 0.643, multirc_em: 0.281, multirc_avg: 0.496
winograd-coreference_run3       micro_avg: 0.625, macro_avg: 0.625, winograd-coreference_f1: 0.133, winograd-coreference_acc: 0.625
commitbank_run3 micro_avg: 0.706, macro_avg: 0.706, commitbank_accuracy: 0.821, commitbank_f1: 0.706, commitbank_precision: 0.706, commitbank_recall: 0.706
cosmosqa_run2   micro_avg: 0.729, macro_avg: 0.729, cosmosqa_accuracy: 0.729
cosmosqa_run3   micro_avg: 0.724, macro_avg: 0.724, cosmosqa_accuracy: 0.724
