commitbank_run2	micro_avg: 1.000, macro_avg: 1.000, commitbank_accuracy: 1.000, commitbank_f1: 1.000, commitbank_precision: 1.000, commitbank_recall: 1.000
copa_run2	micro_avg: 0.960, macro_avg: 0.960, copa_accuracy: 0.960
winograd-coreference_run2	micro_avg: 0.702, macro_avg: 0.702, winograd-coreference_f1: 0.617, winograd-coreference_acc: 0.702
wic_run2	micro_avg: 0.699, macro_avg: 0.699, wic_accuracy: 0.699, wic_f1: 0.733, wic_precision: 0.659, wic_recall: 0.824
rte-superglue_run2	micro_avg: 0.866, macro_avg: 0.866, rte-superglue_accuracy: 0.866
edges-spr2_run2	micro_avg: 0.000, macro_avg: 0.837, edges-spr2_mcc: 0.739, edges-spr2_acc: 0.105, edges-spr2_precision: 0.832, edges-spr2_recall: 0.842, edges-spr2_f1: 0.837
edges-dpr_run2	micro_avg: 0.000, macro_avg: 0.896, edges-dpr_mcc: 0.792, edges-dpr_acc: 0.894, edges-dpr_precision: 0.897, edges-dpr_recall: 0.894, edges-dpr_f1: 0.896
edges-spr1_run2	micro_avg: 0.000, macro_avg: 0.872, edges-spr1_mcc: 0.815, edges-spr1_acc: 0.388, edges-spr1_precision: 0.873, edges-spr1_recall: 0.871, edges-spr1_f1: 0.872
edges-rel-semeval_run2	micro_avg: 0.000, macro_avg: 0.861, edges-rel-semeval_mcc: 0.853, edges-rel-semeval_acc: 0.839, edges-rel-semeval_precision: 0.880, edges-rel-semeval_recall: 0.842, edges-rel-semeval_f1: 0.861
edges-ner-ontonotes_run2	micro_avg: 0.000, macro_avg: 0.969, edges-ner-ontonotes_mcc: 0.967, edges-ner-ontonotes_acc: 0.964, edges-ner-ontonotes_precision: 0.973, edges-ner-ontonotes_recall: 0.965, edges-ner-ontonotes_f1: 0.969
boolq_run2	micro_avg: 0.876, macro_avg: 0.876, boolq_acc_f1: 0.876, boolq_accuracy: 0.862, boolq_f1: 0.889, boolq_precision: 0.889, boolq_recall: 0.889
se-probing-top-constituents_run2	micro_avg: 0.931, macro_avg: 0.931, se-probing-top-constituents_accuracy: 0.931
se-probing-tree-depth_run2	micro_avg: 0.760, macro_avg: 0.760, se-probing-tree-depth_accuracy: 0.760
se-probing-bigram-shift_run2	micro_avg: 0.979, macro_avg: 0.979, se-probing-bigram-shift_accuracy: 0.979
se-probing-word-content_run2	micro_avg: 0.998, macro_avg: 0.998, se-probing-word-content_accuracy: 0.998
se-probing-past-present_run2	micro_avg: 0.909, macro_avg: 0.909, se-probing-past-present_accuracy: 0.909
edges-srl-ontonotes_run2	micro_avg: 0.000, macro_avg: 0.927, edges-srl-ontonotes_mcc: 0.926, edges-srl-ontonotes_acc: 0.911, edges-srl-ontonotes_precision: 0.936, edges-srl-ontonotes_recall: 0.918, edges-srl-ontonotes_f1: 0.927
acceptability-wh_run2	micro_avg: 0.967, macro_avg: 0.967, acceptability-wh_acc_f1: 0.967, acceptability-wh_accuracy: 0.967, acceptability-wh_f1: 0.968
acceptability-def_run2	micro_avg: 0.962, macro_avg: 0.962, acceptability-def_acc_f1: 0.962, acceptability-def_accuracy: 0.962, acceptability-def_f1: 0.963
acceptability-conj_run2	micro_avg: 0.583, macro_avg: 0.583, acceptability-conj_acc_f1: 0.583, acceptability-conj_accuracy: 0.500, acceptability-conj_f1: 0.667
acceptability-eos_run2	micro_avg: 0.979, macro_avg: 0.979, acceptability-eos_acc_f1: 0.979, acceptability-eos_accuracy: 0.979, acceptability-eos_f1: 0.980
multirc_run2	micro_avg: 0.559, macro_avg: 0.559, multirc_ans_f1: 0.754, multirc_qst_f1: 0.709, multirc_em: 0.364, multirc_avg: 0.559
se-probing-obj-number_run2	micro_avg: 0.957, macro_avg: 0.957, se-probing-obj-number_accuracy: 0.957
se-probing-subj-number_run2	micro_avg: 0.943, macro_avg: 0.943, se-probing-subj-number_accuracy: 0.943
edges-coref-ontonotes_run2	micro_avg: 0.000, macro_avg: 0.971, edges-coref-ontonotes_mcc: 0.941, edges-coref-ontonotes_acc: 0.970, edges-coref-ontonotes_precision: 0.970, edges-coref-ontonotes_recall: 0.971, edges-coref-ontonotes_f1: 0.971
edges-spr1_mixrun2	micro_avg: 0.000, macro_avg: 0.844, edges-spr1_mcc: 0.775, edges-spr1_acc: 0.297, edges-spr1_precision: 0.846, edges-spr1_recall: 0.843, edges-spr1_f1: 0.844
edges-spr2_mixrun2	micro_avg: 0.000, macro_avg: 0.834, edges-spr2_mcc: 0.738, edges-spr2_acc: 0.094, edges-spr2_precision: 0.850, edges-spr2_recall: 0.819, edges-spr2_f1: 0.834
edges-dpr_mixrun2	micro_avg: 0.000, macro_avg: 0.661, edges-dpr_mcc: 0.311, edges-dpr_acc: 0.641, edges-dpr_precision: 0.651, edges-dpr_recall: 0.670, edges-dpr_f1: 0.661
