edges-dpr_run2	micro_avg: 0.000, macro_avg: 0.868, edges-dpr_mcc: 0.736, edges-dpr_acc: 0.868, edges-dpr_precision: 0.868, edges-dpr_recall: 0.868, edges-dpr_f1: 0.868
edges-ner-ontonotes_run2	micro_avg: 0.000, macro_avg: 0.970, edges-ner-ontonotes_mcc: 0.969, edges-ner-ontonotes_acc: 0.969, edges-ner-ontonotes_precision: 0.971, edges-ner-ontonotes_recall: 0.970, edges-ner-ontonotes_f1: 0.970
edges-srl-ontonotes_run2	micro_avg: 0.000, macro_avg: 0.937, edges-srl-ontonotes_mcc: 0.936, edges-srl-ontonotes_acc: 0.925, edges-srl-ontonotes_precision: 0.946, edges-srl-ontonotes_recall: 0.928, edges-srl-ontonotes_f1: 0.937
edges-spr1_run2	micro_avg: 0.000, macro_avg: 0.873, edges-spr1_mcc: 0.817, edges-spr1_acc: 0.390, edges-spr1_precision: 0.871, edges-spr1_recall: 0.875, edges-spr1_f1: 0.873
edges-spr2_run2	micro_avg: 0.000, macro_avg: 0.836, edges-spr2_mcc: 0.737, edges-spr2_acc: 0.081, edges-spr2_precision: 0.826, edges-spr2_recall: 0.47, edges-spr2_f1: 0.836
edges-rel-semeval_run2	micro_avg: 0.000, macro_avg: 0.856, edges-rel-semeval_mcc: 0.849, edges-rel-semeval_acc: 0.830, edges-rel-semeval_precision: 0.880, edges-rel-semeval_recall: 0.833, edges-rel-semeval_f1: 0.856
edges-ner-ontonotes_run3	micro_avg: 0.968, macro_avg: 0.968, edges-ner-ontonotes_mcc: 0.967, edges-ner-ontonotes_acc: 0.967, edges-ner-ontonotes_precision: 0.969, edges-ner-ontonotes_recall: 0.968, edges-ner-ontonotes_f1: 0.968
edges-ner-ontonotes_run1        micro_avg: 0.000, macro_avg: 0.963, edges-ner-ontonotes_mcc: 0.961, edges-ner-ontonotes_acc: 0.950, edges-ner-ontonotes_precision: 0.969, edges-ner-ontonotes_recall: 0.957, edges-ner-ontonotes_f1: 0.963
edges-spr1_run3	micro_avg: 0.871, macro_avg: 0.871, edges-spr1_mcc: 0.813, edges-spr1_acc: 0.379, edges-spr1_precision: 0.865, edges-spr1_recall: 0.878, edges-spr1_f1: 0.871
winograd-coreference_run1	micro_avg: 0.721, macro_avg: 0.721, winograd-coreference_f1: 0.667, winograd-coreference_acc: 0.721
edges-dpr_run1  micro_avg: 0.000, macro_avg: 0.904, edges-dpr_mcc: 0.807, edges-dpr_acc: 0.902, edges-dpr_precision: 0.903, edges-dpr_recall: 0.905, edges-dpr_f1: 0.904
edges-spr2_run1 micro_avg: 0.000, macro_avg: 0.838, edges-spr2_mcc: 0.743, edges-spr2_acc: 0.086, edges-spr2_precision: 0.848, edges-spr2_recall: 0.828, edges-spr2_f1: 0.838
edges-rel-semeval_run1  micro_avg: 0.000, macro_avg: 0.855, edges-rel-semeval_mcc: 0.848, edges-rel-semeval_acc: 0.818, edges-rel-semeval_precision: 0.894, edges-rel-semeval_recall: 0.820, edges-rel-semeval_f1: 0.855
